Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
TqNd-LKHuoYo1_mYwqiBFQ,2022-10-10 21:00:34.323348,Nonna Dora’s,italian,4.5,41,606 2nd Ave,10016,40.74440176159688,-73.97634764480043
4RhrQpbhjDmOyXT3qz7v2g,2022-10-10 21:00:34.323365,Osteria Carlina,italian,4.5,66,455 Hudson St,10014,40.731409,-74.006984
zDujEq9qZk13nBcG2PH4tA,2022-10-10 21:00:34.323379,Il Falco,italian,4.5,333,21-50 44th Dr,11101,40.7476595714373,-73.9455319123659
abZ-mEvF6Tj4hfyIg0lKwQ,2022-10-10 21:00:34.323394,Vite Vinosteria,italian,4.5,668,31-05 34th St,11106,40.7629734277725,-73.92119564116
ifIfq2EwEohCgoKnG68_LA,2022-10-10 21:00:34.323409,Villa Berulia,italian,4.5,185,107 E 34th St,10016,40.7467827,-73.9806507
FRp1NwIyp6tkDU986cJkXQ,2022-10-10 21:00:34.323423,Piccola Cucina Estiatorio,italian,4.5,223,75 Thompson St,10012,40.7246,-74.0029799
KXhxtA_JDkCrujeyXvqsgQ,2022-10-10 21:00:34.323437,Canto,italian,4.5,98,117 Perry St,10014,40.73512,-74.00671
MeUq9lombxM9alxs64tejQ,2022-10-10 21:00:34.323451,Pepolino Restaurant,italian,4,603,281 W Broadway,10013,40.720756,-74.004885
9iC39Z1YjZKbrrCANgzBXg,2022-10-10 21:00:34.323465,Sergimmo Salumeria,italian,4,713,456 9th Ave,10018,40.754296,-73.995498
NGyFpNCrzqEG3B0Z0drKfw,2022-10-10 21:00:34.323478,Amarone Scarlatto,italian,4,40,686 Ninth Ave West 47 Street,10036,40.76171494384402,-73.9899636
q3_FgDWWuXcVGiNuo_OPBQ,2022-10-10 21:00:34.323492,Fiaschetteria Pistoia,italian,4,218,647 E 11th St,10009,40.72666,-73.9773
FNxOWxts63oDRKwy9Pbfzw,2022-10-10 21:00:34.323505,Tarallucci E Vino - Nomad,italian,4,193,44 E 28th St,10016,40.74345604900017,-73.98470300895319
zg9Jrtx9rqTXeaqufSOxHQ,2022-10-10 21:00:34.323519,Masseria dei Vini,italian,4,506,887 9th Ave,10019,40.7684,-73.98558
Zp-K3ztVTzR-LrWwl_CBgA,2022-10-10 21:00:34.323532,La Pecora Bianca,italian,4,124,20 W 40th St,10018,40.7525275894982,-73.9829860255122
H_KyiRhwho8rdlw_R93_0Q,2022-10-10 21:00:34.323546,Marea,italian,4,2282,240 Central Park S,10019,40.7674213694566,-73.9810554368179
kIm0oeOaVfC9-2flLPVklA,2022-10-10 21:00:34.323559,Patrizia's Pizza and Pasta,italian,4,731,462-466 2nd Ave,10016,40.7398415,-73.9792862
